depute_nom,groupe_abrev,scrutin_num,scrutin_date,vote_position,vote_dissident,scrutin_groupe,scrutin_fulldesc,scrutin_dossierLibelle,scrutin_typeLibelle,scrutin_typedetail
Mme Valéria Faure-Muntian,LAREM,74,26/07/2017,contre,False,LR,Scrutin n° 74 du 26/07/2017 : l'amendement n° 601 de M. Furst après l'article 2 quater du projet de loi pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins publics ordinaires,amendement
M. Jean-Michel Mis,LAREM,74,26/07/2017,absent,False,LR,Scrutin n° 74 du 26/07/2017 : l'amendement n° 601 de M. Furst après l'article 2 quater du projet de loi pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins publics ordinaires,amendement
M. Julien Borowczyk,LAREM,74,26/07/2017,absent,False,LR,Scrutin n° 74 du 26/07/2017 : l'amendement n° 601 de M. Furst après l'article 2 quater du projet de loi pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins publics ordinaires,amendement
M. Régis Juanico,SOC,74,26/07/2017,absent,False,LR,Scrutin n° 74 du 26/07/2017 : l'amendement n° 601 de M. Furst après l'article 2 quater du projet de loi pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins publics ordinaires,amendement
Mme Nathalie Sarles,LAREM,74,26/07/2017,absent,False,LR,Scrutin n° 74 du 26/07/2017 : l'amendement n° 601 de M. Furst après l'article 2 quater du projet de loi pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins publics ordinaires,amendement
M. Dino Cinieri,LR,74,26/07/2017,absent,False,LR,Scrutin n° 74 du 26/07/2017 : l'amendement n° 601 de M. Furst après l'article 2 quater du projet de loi pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins publics ordinaires,amendement
M. Julien Borowczyk,LAREM,47,13/07/2017,contre,False,GDR,Scrutin n° 47 du 13/07/2017 : l'amendement n° 385 de M. Dharréville après l'article 7 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Jean-Michel Mis,LAREM,47,13/07/2017,contre,False,GDR,Scrutin n° 47 du 13/07/2017 : l'amendement n° 385 de M. Dharréville après l'article 7 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Régis Juanico,SOC,47,13/07/2017,absent,False,GDR,Scrutin n° 47 du 13/07/2017 : l'amendement n° 385 de M. Dharréville après l'article 7 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Nathalie Sarles,LAREM,47,13/07/2017,absent,False,GDR,Scrutin n° 47 du 13/07/2017 : l'amendement n° 385 de M. Dharréville après l'article 7 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Dino Cinieri,LR,47,13/07/2017,absent,False,GDR,Scrutin n° 47 du 13/07/2017 : l'amendement n° 385 de M. Dharréville après l'article 7 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Valéria Faure-Muntian,LAREM,47,13/07/2017,absent,False,GDR,Scrutin n° 47 du 13/07/2017 : l'amendement n° 385 de M. Dharréville après l'article 7 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Nathalie Sarles,LAREM,120,25/09/2017,contre,False,FI,Scrutin n° 120 du 25/09/2017 : l'amendement n° 245 de M. Bernalicis et l'amendement identique suivant à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
M. Jean-Michel Mis,LAREM,120,25/09/2017,absent,False,FI,Scrutin n° 120 du 25/09/2017 : l'amendement n° 245 de M. Bernalicis et l'amendement identique suivant à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
M. Julien Borowczyk,LAREM,120,25/09/2017,absent,False,FI,Scrutin n° 120 du 25/09/2017 : l'amendement n° 245 de M. Bernalicis et l'amendement identique suivant à l'article premier du projet de loi renforçant la sécurité intérieure et la lutte contre le terrorisme (première lecture).,"Police et sécurité : sécurité intérieure et lutte contre le terrorisme
",Scrutins publics ordinaires,amendement
